Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0227398,0.0161861,-0.00771923,0.178529,0.104625,0.0696341
0.0222356,0.0156826,-0.00771923,0.204936,0.126366,0.0719703
0.0227378,0.0156841,-0.00771923,0.197947,0.117914,0.0697078
0.0222345,0.0151815,-0.00771923,0.222777,0.132877,0.0782894
0.0227362,0.0151827,-0.00771923,0.216691,0.127605,0.072358
0.0222371,0.0161841,-0.00771923,0.187076,0.11666,0.0688897
0.0232411,0.0156863,-0.00771923,0.190279,0.110093,0.0703169
0.0232391,0.0151845,-0.00771923,0.208738,0.122016,0.0711549
0.0232376,0.0146835,-0.00771923,0.220276,0.12932,0.0736809
0.0232364,0.0141825,-0.00771923,0.224696,0.131686,0.0780235
0.0237393,0.0141845,-0.00771923,0.209028,0.126968,0.0752354
0.0242428,0.0141864,-0.00771923,0.187819,0.121326,0.0752718
0.0247536,0.014691,-0.00771923,0.169582,0.117279,0.0779402
0.024747,0.0141859,-0.00771923,0.165651,0.115546,0.0788475
0.0252647,0.014684,-0.00771923,0.139115,0.104895,0.0762969
0.0252604,0.0141805,-0.00771923,0.13374,0.100856,0.0776196
0.0252617,0.0136797,-0.00771923,0.128079,0.0948332,0.0798321
0.0247443,0.0136823,-0.00771923,0.161063,0.111331,0.0815478
0.0242399,0.0136829,-0.00771923,0.184376,0.118812,0.0782933
0.0237375,0.0136821,-0.00771923,0.207344,0.125069,0.0804124
0.024239,0.0131797,-0.00771923,0.179463,0.110447,0.0841066
0.0247439,0.0131797,-0.00771923,0.156254,0.101763,0.0864823
0.0252635,0.01318,-0.00771923,0.124564,0.0848714,0.0840515
0.0222901,0.0071131,-0.00771923,0.0837825,-0.15806,0.068219
0.0217683,0.00713733,-0.00771923,0.0859784,-0.182993,0.0728781
0.0252645,0.0126799,-0.00771923,0.124032,0.0715088,0.090016
0.0252665,0.0121781,-0.00771923,0.12797,0.0532567,0.0978548
0.0247457,0.0126769,-0.00771923,0.153829,0.0876087,0.0942453
0.0247501,0.0121726,-0.00771923,0.154806,0.0654592,0.105408
0.0242406,0.0126763,-0.00771923,0.176367,0.0968603,0.0931983
0.0242444,0.0121725,-0.00771923,0.175094,0.0738279,0.107545
0.0247586,0.0116666,-0.00771923,0.152062,0.0391157,0.112264
0.0242498,0.0116686,-0.00771923,0.170427,0.0452195,0.118071
0.020741,0.0186925,-0.00771923,0.140952,0.0923063,0.0802139
0.0212441,0.018696,-0.00771923,0.139666,0.0804603,0.0783488
0.0207385,0.0181876,-0.00771923,0.155782,0.110415,0.0772149
0.0212413,0.0181905,-0.00771923,0.153638,0.0967785,0.0738502
0.0217498,0.0187024,-0.00771923,0.136143,0.0698312,0.0803639
0.021745,0.0181944,-0.00771923,0.148752,0.0842626,0.0755337
0.0217413,0.0176893,-0.00771923,0.159581,0.0999914,0.0718375
0.0212386,0.0176867,-0.00771923,0.166587,0.114097,0.0719193
0.0212367,0.0171842,-0.00771923,0.177705,0.127436,0.0715851
0.0217393,0.0171867,-0.00771923,0.169569,0.111851,0.069496
0.0207352,0.0171828,-0.00771923,0.180676,0.142367,0.0820276
0.0207366,0.0176847,-0.00771923,0.169506,0.129017,0.0784646
0.0202352,0.0176832,-0.00771923,0.164849,0.141679,0.0912524
0.0202368,0.0181856,-0.00771923,0.15194,0.123023,0.0858581
0.0217336,0.0151808,-0.00771923,0.226441,0.138433,0.0938082
0.0217344,0.0156815,-0.00771923,0.211157,0.136191,0.0823143
0.0217355,0.0161827,-0.00771923,0.195092,0.129688,0.0741813
0.0217372,0.0166845,-0.00771923,0.182042,0.122322,0.0708639
0.0212353,0.0166827,-0.00771923,0.188979,0.1373,0.0763531
0.0212343,0.0161816,-0.00771923,0.200373,0.142538,0.0855233
0.0212335,0.0156808,-0.00771923,0.212466,0.145325,0.0996271
0.0212331,0.0151804,-0.00771923,0.223591,0.143044,0.11882
0.0227352,0.0146818,-0.00771923,0.229247,0.133528,0.0771545
0.0222339,0.0146809,-0.00771923,0.234106,0.13597,0.0863683
0.0222335,0.0141805,-0.00771923,0.239636,0.136645,0.0980438
0.0227345,0.0141812,-0.00771923,0.235087,0.135498,0.0849718
0.0222333,0.0136802,-0.00771923,0.237174,0.132782,0.11311
0.0227342,0.0136805,-0.00771923,0.233947,0.132417,0.0967075
0.0232355,0.0136812,-0.00771923,0.22393,0.129467,0.0863267
0.0232353,0.0131798,-0.00771923,0.220556,0.119684,0.0993823
0.0237369,0.0131797,-0.00771923,0.203164,0.116385,0.0890049
0.022734,0.0131798,-0.00771923,0.229617,0.120619,0.11583
0.0222332,0.0131799,-0.00771923,0.229589,0.118674,0.138981
0.0232357,0.0126783,-0.00771923,0.216503,0.104252,0.114103
0.0227343,0.0126791,-0.00771923,0.223731,0.102687,0.134236
0.0232383,0.0116758,-0.00771923,0.201863,0.0480061,0.147872
0.023743,0.0116727,-0.00771923,0.189351,0.048329,0.129924
0.0232401,0.0111747,-0.00771923,0.197398,0.011379,0.152281
0.0237458,0.0111713,-0.00771923,0.188393,0.0142942,0.134582
0.0232368,0.012177,-0.00771923,0.211319,0.079328,0.133575
0.0237401,0.0121748,-0.00771923,0.196611,0.0784759,0.117167
0.0237378,0.0126772,-0.00771923,0.200077,0.102326,0.10023
0.0227348,0.0121784,-0.00771923,0.216946,0.0760757,0.154868
0.0222333,0.0126796,-0.00771923,0.220836,0.0977656,0.161765
