Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0168679,-0.0365762,-0.00151883,-0.0367275,-0.109997,0.0893336
0.0165673,-0.0366662,-0.00151883,-0.0282792,-0.0932622,0.0762715
0.016009,-0.0365205,-0.00151883,-0.0318145,-0.088839,0.0919769
0.0115063,-0.0304234,-0.00151883,-0.111624,-0.0348149,0.114042
0.0114794,-0.0306975,-0.00151883,-0.0932204,-0.0318107,0.105674
0.0119195,-0.0311136,-0.00151883,-0.0909787,-0.0527813,0.119327
0.0117166,-0.0312933,-0.00151883,-0.0839998,-0.049059,0.10553
0.0117513,-0.0307175,-0.00151883,-0.103476,-0.0434835,0.123457
0.0123369,-0.0330302,-0.00151883,-0.0462876,-0.0789575,0.101454
0.012225,-0.0329211,-0.00151883,-0.0512076,-0.0817286,0.100889
0.0119646,-0.032464,-0.00151883,-0.0559613,-0.0711938,0.105845
0.0119715,-0.0324599,-0.00151883,-0.0559545,-0.0714514,0.105507
0.0117985,-0.0318942,-0.00151883,-0.059476,-0.0516408,0.0892347
0.0119509,-0.0324529,-0.00151883,-0.054717,-0.0691556,0.102914
0.0150691,-0.0358189,-0.00151883,-0.034471,-0.101165,0.0927496
0.015125,-0.0360528,-0.00151883,-0.0324832,-0.0985603,0.0856332
0.0159913,-0.0364913,-0.00151883,-0.034143,-0.0911072,0.0949134
0.0160012,-0.0364964,-0.00151883,-0.0327955,-0.0918515,0.0943738
0.0154423,-0.0361264,-0.00151883,-0.0420585,-0.0857876,0.0991821
0.0155434,-0.0362334,-0.00151883,-0.041838,-0.0923045,0.0946775
0.0152889,-0.0360582,-0.00151883,-0.0415257,-0.101923,0.0916356
0.0234236,-0.0358183,-0.00151883,0.0471576,-0.0927033,0.1066
0.0135058,-0.0345133,-0.00151883,-0.0219539,-0.088861,0.0965489
0.0260172,-0.0249807,-0.00151883,0.0845469,0.0609094,0.10263
0.0256745,-0.0249988,-0.00151883,0.101645,0.0731405,0.12036
0.0143751,-0.0229375,-0.00151883,-0.0377704,0.0875464,0.0901715
0.0128965,-0.0245285,-0.00151883,-0.0346328,0.0890525,0.10484
0.0239246,-0.0228689,-0.00151883,0.0617182,0.0970652,0.0995464
0.0235757,-0.0228735,-0.00151883,0.0643775,0.11417,0.112635
0.0139723,-0.0239579,-0.00151883,-0.0482374,0.125268,0.115719
0.0135623,-0.0238124,-0.00151883,-0.0370718,0.105947,0.107778
0.013823,-0.0235546,-0.00151883,-0.0367618,0.105384,0.101157
0.0118998,-0.0267993,-0.00151883,-0.0766297,0.0628642,0.103912
0.0118322,-0.0265631,-0.00151883,-0.0600574,0.0553856,0.0867432
0.0205339,-0.0369894,-0.00151883,-0.0436803,-0.121275,0.1078
0.0207942,-0.0370306,-0.00151883,-0.0348142,-0.108574,0.104351
0.0202915,-0.0369102,-0.00151883,-0.0459524,-0.128464,0.109727
0.0207834,-0.0367775,-0.00151883,-0.0384229,-0.126158,0.124216
0.0211368,-0.0365478,-0.00151883,-0.0277739,-0.121217,0.122488
0.0213109,-0.0367664,-0.00151883,-0.026051,-0.111134,0.105511
0.0120166,-0.0259827,-0.00151883,-0.0599422,0.0722831,0.114476
0.0122151,-0.0255982,-0.00151883,-0.0535433,0.0833874,0.132807
0.0125532,-0.0256221,-0.00151883,-0.0496266,0.0926809,0.153774
0.0118844,-0.0265799,-0.00151883,-0.0671572,0.0634747,0.0936389
0.0115207,-0.0292306,-0.00151883,-0.107692,0.00323622,0.116326
0.0115794,-0.0292678,-0.00151883,-0.130405,0.00191074,0.131924
0.0115691,-0.0301776,-0.00151883,-0.124723,-0.0335619,0.123821
0.0115168,-0.030207,-0.00151883,-0.103994,-0.029107,0.108676
