Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0167183,0.0205054,-0.00771923,-0.0312217,0.201783,0.0972572
0.0167488,0.020861,-0.00771923,-0.00714582,0.152142,0.110235
0.0172285,0.0208166,-0.00771923,-0.0145246,0.187281,0.0858803
0.025856,0.0111965,-0.00771923,0.209903,-0.0243439,0.0934783
0.0240964,0.018441,-0.00771923,0.128066,0.105355,0.103324
0.0240982,0.0184437,-0.00771923,0.127823,0.105229,0.103468
0.0258921,0.0117195,-0.00771923,0.198948,-0.017191,0.0966635
0.0258815,0.0121888,-0.00771923,0.226937,-0.0115069,0.0829197
0.0258553,0.0112207,-0.00771923,0.211954,-0.0245483,0.091433
0.0258559,0.0112423,-0.00771923,0.211633,-0.0243325,0.09188
0.0254257,0.0106826,-0.00771923,0.203882,-0.0365072,0.0974651
0.0254699,0.0101623,-0.00771923,0.159263,-0.0284402,0.0848085
0.0250952,0.00894368,-0.00771923,0.136188,-0.0594074,0.0896617
0.0249028,0.0100284,-0.00771923,0.184618,-0.0470848,0.0891751
0.0105399,0.0136899,-0.00771923,-0.169464,0.0135379,0.0803483
0.0105674,0.0132152,-0.00771923,-0.208543,0.00270838,0.0747591
0.010514,0.0131937,-0.00771923,-0.202995,0.00289265,0.0749033
0.0105588,0.0141556,-0.00771923,-0.184193,0.0250397,0.0762572
0.0105587,0.0141878,-0.00771923,-0.184765,0.0256071,0.0758354
0.0105562,0.0142247,-0.00771923,-0.1824,0.0251763,0.0778349
0.0105676,0.0131728,-0.00771923,-0.210518,0.00189686,0.0745998
0.0105459,0.0126991,-0.00771923,-0.200371,-0.000962683,0.0798038
0.0105823,0.012216,-0.00771923,-0.221517,-0.00143541,0.0749711
0.0105565,0.0122045,-0.00771923,-0.217725,-0.000422083,0.0752096
0.010583,0.0121946,-0.00771923,-0.220757,-0.00121721,0.074928
0.0105693,0.0117144,-0.00771923,-0.17134,0.00369656,0.0932731
0.02128,0.00595008,-0.00771923,0.0223332,-0.141297,0.0741222
